rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541C,track_layout,46,17,4,0,1,0,0,1,0,0,9,0,0,4,660
1541C,track_layout,47,17,4,1,1,0,0,1,0,0,10,0,0,4,660
1541C,track_layout,48,17,4,2,0,1,1,1,0,0,10,0,0,4,660
1541C,track_layout,50,17,4,3,0,1,1,1,0,0,10,0,0,5,659
1541C,track_layout,51,17,4,4,0,1,1,2,1,1,10,0,0,5,659
1541C,track_layout,52,17,4,5,0,1,1,2,0,0,10,0,0,5,659
1541C,track_layout,54,17,4,6,0,2,2,3,0,0,10,0,0,5,659
1541C,track_layout,55,17,4,7,0,2,2,3,0,0,10,0,0,5,659
1541C,track_layout,57,17,5,0,1,0,0,1,0,0,11,0,0,5,659
1541C,track_layout,58,17,5,1,1,0,0,1,0,0,12,0,0,5,659
1541C,track_layout,59,17,5,2,0,1,1,1,0,0,12,0,0,5,659
1541C,track_layout,61,17,5,3,0,1,1,1,0,0,12,0,0,6,658
1541C,track_layout,62,17,5,4,0,1,1,2,1,1,12,0,0,6,658
1541C,track_layout,63,17,5,5,0,1,1,2,0,0,12,0,0,6,658
1541C,track_layout,65,17,5,6,0,2,2,3,0,0,12,0,0,6,658
1541C,track_layout,66,17,5,7,0,2,2,3,0,0,12,0,0,6,658
1541C,track_layout,68,17,6,0,1,0,0,1,0,0,13,0,0,6,658
1541C,track_layout,69,17,6,1,1,0,0,1,0,0,14,0,0,6,658
1541C,track_layout,70,17,6,2,0,1,1,1,0,0,14,0,0,6,658
1541C,track_layout,72,17,6,3,0,1,1,1,0,0,14,0,0,7,657
1541C,track_layout,73,17,6,4,0,1,1,2,1,1,14,0,0,7,657
1541C,track_layout,74,17,6,5,0,1,1,2,0,0,14,0,0,7,657
1541C,track_layout,76,17,6,6,0,2,2,3,0,0,14,0,0,7,657
1541C,track_layout,77,17,6,7,0,2,2,3,0,0,14,0,0,7,657
1541C,track_layout,79,17,7,0,1,0,0,1,0,0,15,0,0,7,657
1541C,track_layout,80,17,7,1,1,0,0,1,0,0,16,0,0,7,657
1541C,track_layout,81,17,7,2,0,1,1,1,0,0,16,0,0,7,657
1541C,track_layout,83,17,7,3,0,1,1,1,0,0,16,0,0,8,656
1541C,track_layout,84,17,7,4,0,1,1,2,1,1,16,0,0,8,656
1541C,track_layout,85,17,7,5,0,1,1,2,0,0,16,0,0,8,656
1541C,track_layout,87,17,7,6,0,2,2,3,0,0,16,0,0,8,656
1541C,track_layout,88,17,7,7,0,2,2,3,0,0,16,0,0,8,656
1541C,track_layout,92,18,0,0,1,0,0,1,0,0,17,0,0,8,656
1541C,track_layout,95,18,0,1,1,0,0,1,0,0,18,0,0,8,656
1541C,track_layout,98,18,0,2,0,1,1,1,0,0,18,0,0,8,656
1541C,track_layout,102,18,0,3,0,1,1,1,0,0,18,0,0,9,655
1541C,track_layout,105,18,0,4,0,1,1,2,1,1,18,0,0,9,655
1541C,track_layout,108,18,0,5,0,1,1,2,0,0,18,0,0,9,655
1541C,track_layout,112,18,0,6,0,2,2,3,0,0,18,0,0,9,655
1541C,track_layout,115,18,0,7,0,2,2,3,0,0,18,0,0,9,655
1541C,track_layout,119,18,1,0,1,0,0,1,0,0,19,0,0,9,655
1541C,track_layout,122,18,1,1,1,0,0,1,0,0,20,0,0,9,655
1541C,track_layout,125,18,1,2,0,1,1,1,0,0,20,0,0,9,655
1541C,track_layout,129,18,1,3,0,1,1,1,0,0,20,0,0,10,654
1541C,track_layout,132,18,1,4,0,1,1,2,1,1,20,0,0,10,654
1541C,track_layout,135,18,1,5,0,1,1,2,0,0,20,0,0,10,654
1541C,track_layout,139,18,1,6,0,2,2,3,0,0,20,0,0,10,654
1541C,track_layout,142,18,1,7,0,2,2,3,0,0,20,0,0,10,654
1541C,track_layout,146,18,2,0,1,0,0,1,0,0,21,0,0,10,654
1541C,track_layout,149,18,2,1,1,0,0,1,0,0,22,0,0,10,654
1541C,track_layout,152,18,2,2,0,1,1,1,0,0,22,0,0,10,654
1541C,track_layout,156,18,2,3,0,1,1,1,0,0,22,0,0,11,653
1541C,track_layout,159,18,2,4,0,1,1,2,1,1,22,0,0,11,653
1541C,track_layout,162,18,2,5,0,1,1,2,0,0,22,0,0,11,653
1541C,track_layout,166,18,2,6,0,2,2,3,0,0,22,0,0,11,653
1541C,track_layout,169,18,2,7,0,2,2,3,0,0,22,0,0,11,653
1541C,track_layout,173,18,3,0,1,0,0,1,0,0,23,0,0,11,653
1541C,track_layout,176,18,3,1,1,0,0,1,0,0,24,0,0,11,653
1541C,track_layout,179,18,3,2,0,1,1,1,0,0,24,0,0,11,653
1541C,track_layout,183,18,3,3,0,1,1,1,0,0,24,0,0,12,652
1541C,track_layout,186,18,3,4,0,1,1,2,1,1,24,0,0,12,652
1541C,track_layout,189,18,3,5,0,1,1,2,0,0,24,0,0,12,652
1541C,track_layout,193,18,3,6,0,2,2,3,0,0,24,0,0,12,652
1541C,track_layout,196,18,3,7,0,2,2,3,0,0,24,0,0,12,652
1541C,track_layout,200,18,4,0,1,0,0,1,0,0,25,0,0,12,652
1541C,track_layout,203,18,4,1,1,0,0,1,0,0,26,0,0,12,652
1541C,track_layout,206,18,4,2,0,1,1,1,0,0,26,0,0,12,652
1541C,track_layout,210,18,4,3,0,1,1,1,0,0,26,0,0,13,651
1541C,track_layout,213,18,4,4,0,1,1,2,1,1,26,0,0,13,651
1541C,track_layout,216,18,4,5,0,1,1,2,0,0,26,0,0,13,651
1541C,track_layout,220,18,4,6,0,2,2,3,0,0,26,0,0,13,651
1541C,track_layout,223,18,4,7,0,2,2,3,0,0,26,0,0,13,651
1541C,track_layout,227,18,5,0,1,0,0,1,0,0,27,0,0,13,651
1541C,track_layout,230,18,5,1,1,0,0,1,0,0,28,0,0,13,651
1541C,track_layout,233,18,5,2,0,1,1,1,0,0,28,0,0,13,651
1541C,track_layout,237,18,5,3,0,1,1,1,0,0,28,0,0,14,650
1541C,track_layout,240,18,5,4,0,1,1,2,1,1,28,0,0,14,650
1541C,track_layout,243,18,5,5,0,1,1,2,0,0,28,0,0,14,650
1541C,track_layout,247,18,5,6,0,2,2,3,0,0,28,0,0,14,650
1541C,track_layout,250,18,5,7,0,2,2,3,0,0,28,0,0,14,650
1541C,track_layout,254,18,6,0,1,0,0,1,0,0,29,0,0,14,650
1541C,track_layout,257,18,6,1,1,0,0,1,0,0,30,0,0,14,650
1541C,track_layout,260,18,6,2,0,1,1,1,0,0,30,0,0,14,650
1541C,track_layout,264,18,6,3,0,1,1,1,0,0,30,0,0,15,649
1541C,track_layout,267,18,6,4,0,1,1,2,1,1,30,0,0,15,649
1541C,track_layout,270,18,6,5,0,1,1,2,0,0,30,0,0,15,649
1541C,track_layout,274,18,6,6,0,2,2,3,0,0,30,0,0,15,649
1541C,track_layout,277,18,6,7,0,2,2,3,0,0,30,0,0,15,649
1541C,track_layout,281,18,7,0,1,0,0,1,0,0,31,0,0,15,649
1541C,track_layout,284,18,7,1,1,0,0,1,0,0,32,0,0,15,649
1541C,track_layout,287,18,7,2,0,1,1,1,0,0,32,0,0,15,649
1541C,track_layout,291,18,7,3,0,1,1,1,0,0,32,0,0,16,648
1541C,track_layout,294,18,7,4,0,1,1,2,1,1,32,0,0,16,648
1541C,track_layout,297,18,7,5,0,1,1,2,0,0,32,0,0,16,648
1541C,track_layout,301,18,7,6,0,2,2,3,0,0,32,0,0,16,648
1541C,track_layout,304,18,7,7,0,2,2,3,0,0,32,0,0,16,648
1541C,track_layout,310,19,0,0,1,0,0,1,0,0,33,0,0,16,648
1541C,track_layout,315,19,0,1,1,0,0,1,0,0,34,0,0,16,648
1541C,track_layout,320,19,0,2,0,1,1,1,0,0,34,0,0,16,648
1541C,track_layout,326,19,0,3,0,1,1,1,0,0,34,0,0,17,647
1541C,track_layout,331,19,0,4,0,1,1,2,1,1,34,0,0,17,647
1541C,track_layout,336,19,0,5,0,1,1,2,0,0,34,0,0,17,647
1541C,track_layout,342,19,0,6,0,2,2,3,0,0,34,0,0,17,647
1541C,track_layout,347,19,0,7,0,2,2,3,0,0,34,0,0,17,647
1541C,track_layout,353,19,1,0,1,0,0,1,0,0,35,0,0,17,647
1541C,track_layout,358,19,1,1,1,0,0,1,0,0,36,0,0,17,647
1541C,track_layout,363,19,1,2,0,1,1,1,0,0,36,0,0,17,647
